id,fen,mateIn,composer
c5f3667a,8/kN2P3/1R2r3/3q1p2/1p2p3/1NQ1n1K1/5P2/3b2b1 w - - 0 1,0,Дарко Хлебец
8157e593,5k2/8/8/3R4/7K/8/3b2pP/8 w - - 0 1,0,Алексей Алексеевич Троицкий
90b4883b,8/2p5/2P2p2/5Pk1/8/3K4/8/8 w - - 0 1,0,František Dedrle
42018170,3N4/8/p4B2/Pk6/1p1K4/2P1p3/pP2P1b1/8 w - - 0 1,0,Владимир Александрович Корольков
4f5eaccb,8/B7/6p1/5p2/6P1/1kb5/5Pp1/3K4 w - - 0 1,0,Виталий Семёнович Коваленко
df378bc0,2R5/2b5/8/8/8/k7/3p2b1/1K6 w - - 0 1,0,Ignace Marie Joseph Thérès Corneille Vandecasteele
9dc26efc,8/1K6/5P2/1P6/1k6/5n2/3r1B2/8 w - - 0 1,0,Михаил Васильевич Кройтор
24391faa,2q5/8/8/8/3k4/1p6/2P1K2B/7R w - - 0 1,0,Emilian Dobrescu
79f53d53,8/1P1P1n2/4k3/4p3/K1P5/8/6N1/5r2 w - - 0 1,0,Алексей Алексеевич Троицкий
ebb93039,8/p7/k3B3/P7/1B4P1/2P2p1p/3bb3/K7 w - - 0 1,0,Otto Georg Edgar Dehler
86bbd55a,2K5/1P6/8/3B4/8/6p1/7b/4rk1N w - - 0 1,0,Эрнест Левонович Погосянц
83ceceb4,1K6/8/4k1P1/7r/8/1b6/4P3/3N3B w - - 0 1,0,Charles Michael Bent
5d3197c7,4R2b/8/8/3KN3/1p6/P7/1p1p4/4k2n w - - 0 1,0,Stanislav Nosek
08b6fc1a,k2n4/1N3PP1/1P6/n7/4pK2/r7/7p/8 w - - 0 1,0,Genrich Kasparjan
c28dbd53,k7/2p5/2P3Kp/2P4P/7P/5Rpr/5p2/8 w - - 0 1,0,Franz Sackmann
23ae24de,3n3k/3B4/1P6/3n2P1/7K/8/8/5b2 w - - 0 1,0,Фройм Маркович Симхович
cb54cd5f,7N/6rk/4n3/8/1R6/7K/8/5n2 w - - 0 1,0,Jean Roche
