id,fen,mateIn,composer
754a44c1,NB6/8/2k2p2/p7/2p5/8/8/5K2 w - - 0 1,-1,František Richter
7352a6f0,3n4/8/b1P2P2/7K/1P6/7k/8/8 w - - 0 1,-1,Rewas Tawariani
1f53c6e0,8/2p2pk1/8/K2P4/8/4B1N1/b7/8 w - - 0 1,-1,Roberts Skuja
923fc4d5,8/7N/3P4/7r/k1p1K3/8/1P6/8 w - - 0 1,-1,Gunter Sonntag
9c558a08,5K1b/8/5n2/2R1B3/7k/8/8/8 w - - 0 1,-1,Jindřich Fritz
91b1abd3,3q1k2/4p3/1p1P4/3p3K/2n1N3/8/8/2Q5 w - - 0 1,-1,Josef Cumpe
06c943a8,7k/1b6/3p1NP1/7K/q6P/5p2/2n5/5Q2 w - - 0 1,-1,Gerd Wilhelm Hörning
e886d636,8/2p3p1/2p5/K1k5/1R2P1rP/3P1p2/8/8 w - - 0 1,-1,İlham Əliyev
6595877b,6bB/Pk2K1N1/8/8/2p5/8/8/8 w - - 0 1,-1,Zlatko Maričić
eb585272,8/7p/8/8/8/8/7P/5KBk w - - 0 1,-1,Эрнест Левонович Погосянц
7ffbfe75,k7/b5pp/1p4n1/3p4/1NN4P/8/B7/1K6 w - - 0 1,-1,Алымкул Турпанович Ботоканов
b5f0ab29,R7/P7/8/8/7K/8/r6k/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
694fa0e8,8/5B2/p7/P7/8/1P1pp3/5pN1/5k1K w - - 0 1,-1,Jānis Bētiņš
5d2747ef,8/1p6/8/kq1N2R1/8/8/P5PK/8 w - - 0 1,-1,A. Puljan
08be563f,7R/3p4/3PN2p/3K3p/7P/1k6/3p4/8 w - - 0 1,-1,Геннадий Васильевич Новиков
b527929e,6r1/6b1/8/8/8/p1P5/P3B1R1/4k1K1 w - - 0 1,-1,Николай Спиридонович Россолимо
f1f5ad3c,B7/8/8/2b3Nk/5R2/6p1/6p1/3K3b w - - 0 1,-1,Emilian Dobrescu
0ecbd9f0,8/B7/P3p3/4r3/8/8/5K1k/1B5r w - - 0 1,-1,Iancu Ohman
56b2cb97,k7/8/1p4KN/8/p7/6P1/8/8 w - - 0 1,-1,Jan Michael Sprenger
32a96fd3,1R5B/2n1RK2/8/1n6/8/2P5/4Ppk1/8 w - - 0 1,-1,Николай Иванович Кралин
17d2db45,6N1/n1r5/4P1p1/2p3k1/7R/6PK/5P2/7b w - - 0 1,-1,Steffen Slumstrup Nielsen
4c258eca,8/1N6/1P6/5P2/7k/8/3r4/K7 w - - 0 1,-1,Ladislav Prokeš
577fe7da,7b/8/8/8/8/1K6/1p1k4/1Q6 w - - 0 1,-1,František Dedrle
e8a62d52,8/7P/1B6/8/7K/8/r7/4k3 w - - 0 1,-1,Борис Николаевич Сидоров
f2ae84a0,8/7p/5p1p/4Pp1k/5K1p/6PP/8/8 w - - 0 1,-1,Виталий Семёнович Коваленко
bb388754,3K2B1/8/p2P4/8/6r1/3P1N2/6kB/3r4 w - - 0 1,-1,Тигран Борисович Горгиев
cff86d7b,3b4/4p3/8/7P/8/8/3k1P1N/3n2K1 w - - 0 1,-1,Алексей Алексеевич Троицкий
c95b927c,8/1k6/8/P3p3/1PKpPp2/5P2/8/8 w - - 0 1,-1,Wilhelm Steinitz
7c04be6f,2K3k1/6Pb/1p1N4/2P5/8/3BP2r/8/8 w - - 0 1,-1,Walter Korn
24f9a7f9,8/b7/3K4/8/1P6/8/7P/7k w - - 0 1,-1,И. Галушко
88daac5d,4K1bQ/8/8/8/8/8/7p/6k1 w - - 0 1,-1,Pál Faragó
d5715565,1q2k3/1b6/4K3/8/8/8/8/1Q6 w - - 0 1,-1,Эрнест Левонович Погосянц
9f4babd5,K7/3p1B2/2p5/p3n3/PP6/P7/6k1/8 w - - 0 1,-1,Александр Жуков
086e07c5,1N6/1p2p3/1K1kp3/P3p3/2P1R3/2P3pr/2P1P1Pr/7n w - - 0 1,-1,Эдуард Алексеевич Асаба
e8637724,8/1Np5/8/5k2/8/3p3K/PP6/8 w - - 0 1,-1,Павел Михайлович Арестов
314d4d7e,1K6/P7/1k6/4r3/pP5p/1P6/6B1/8 w - - 0 1,-1,Виталий Семёнович Коваленко
5852dd7f,8/1p3b2/5P2/1P1p4/8/3B4/5k2/K7 w - - 0 1,-1,Jaroslav Pospíšil
b8d595aa,8/7b/5P2/N3rp2/5B2/p7/1P5p/K6k w - - 0 1,-1,Леонард Ильич Кацнельсон
8e5bd6a9,8/pp6/8/P4B2/7B/5k2/K4b2/8 w - - 0 1,-1,Vladimír Kos
668092b7,n7/8/3P3K/4pk2/6p1/p7/2P3N1/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
b5edd457,1k6/p5R1/q1p3B1/P2Pp1p1/1P6/2P1pP1p/7P/4K3 w - - 0 1,-1,Василий Николаевич Платов
af8d7f83,7k/1p5p/3b4/8/3K2NB/8/8/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
1db4a53b,1k6/1n6/8/3K4/8/8/8/7R w - - 0 1,-1,Friedrich Ludwig Balthasar Amelung
0ddfa83e,rrk5/RR6/6K1/8/8/8/8/8 w - - 0 1,-1,Stefan Wójcik
fcbca3fe,8/B7/8/n1N5/8/4n3/B5k1/4K3 w - - 0 1,-1,Genrich Kasparjan
aac40c28,8/b7/6PB/8/8/N5p1/rP6/k6K w - - 0 1,-1,Emilian Dobrescu
eb83873f,3k4/p1pq3p/1p5R/4P3/P6P/2PN4/1PN3K1/8 w - - 0 1,-1,Mihai Neghină
238b2dc7,k7/8/3p1p2/p2P1P2/P2P4/K7/8/8 w - - 0 1,-1,Emanuel Lasker
