id,fen,mateIn,composer
f715ae8d,8/8/6pN/6pp/7k/7N/6K1/8 w - - 0 1,8,Allan Bell
b7610acc,7K/p2n4/r5p1/2B2p2/2B2Npp/2p3Pn/rp4b1/q1b1QN1k w - - 0 1,8,Olivier Schmitt
ec62c3cd,NN1k1r1r/3Pp3/2p1p1bB/5n2/8/1p3p2/P4P2/R3K3 w - - 0 1,8,Mečislovas Rimkus
2008df7a,8/3nr1B1/bppppr2/bp1pk2K/1P1q1p2/3P4/2PP3N/8 w - - 0 1,23,Matthias Schneider
48620a84,8/4p3/4K1p1/4N1P1/4k3/1p3N2/1P2PP2/8 w - - 0 1,8,Mirko Degenkolbe
f616b31a,8/8/4p3/4K3/2p1B1p1/2P1k1p1/2R3P1/8 w - - 0 1,8,Ron Fenton
8b0ad86b,3k2b1/2p1Rp2/K1pp1B2/5P2/2P3N1/p2p4/1p2P1n1/3r4 w - - 0 1,9,Александр Павлович Гуляев
c318f77f,8/7B/p4p2/7R/3k4/1K6/3P4/8 w - - 0 1,8,Валерий Алексеевич Иванов
517a34b6,8/p3B1br/2pP3p/3pn2K/1P1k1P2/1P1p1pN1/3Pp1N1/4nb2 w - - 0 1,19,Григорий Леонтьевич Попов
d56720b4,8/pr6/4N3/1pb5/1k4r1/2pp2p1/Q1p3K1/2B5 w - - 0 1,9,Klaus Schaller
d9fe9b0f,R7/p7/K7/8/k7/8/8/8 w - - 0 1,8,Николай С. Зиновьев
33ff1b8d,4b3/K4p2/3B1N1b/1pN5/3k1p1p/nPp2Rr1/1p2Pp2/4r3 w - - 0 1,9,Евгений Васильевич Фомичёв
f5d72b28,6N1/8/8/2K5/4k1P1/3pPp2/1N1P1P2/8 w - - 0 1,8,Василий Тихонович Малюк
802dd399,8/2N5/B7/1N6/k3K3/8/8/8 w - - 0 1,10,Ferhat Karmil
e36ca232,b2q1kr1/2b1nP1p/1n4pP/3pB1N1/4N1p1/3p2p1/6KP/2R1R3 w - - 0 1,9,Friedrich Chlubna
d96b1d81,k1K5/bp2pp2/1pp5/6P1/8/2Qp1p2/6p1/7b w - - 0 1,9,Вячеслав Николаевич Андреев
ef31a769,bN6/k1B5/8/1P6/8/7N/8/5K2 w - - 0 1,8,Roger Jules Adolphe Missiaen
fb76b772,8/8/8/6p1/6K1/6B1/5NpN/6k1 w - - 0 1,8,Baldur J. L. Kozdon
5c13bd9b,8/p1p5/PpP5/kB6/P2PK3/1p1p4/1Pprp3/2Bbb3 w - - 0 1,8,René Jean Millour
3080e5ce,8/2pBN3/2p5/2Pp4/3P2p1/B4pP1/p3pP2/k3K3 w - - 0 1,9,Jozef Sklenár
479a626c,8/8/3N4/8/B2p4/8/N2k1K2/8 w - - 0 1,8,Владимир Морозов
fc4a6e28,8/1p4p1/bp2p1R1/bp2R3/1p6/1K3p2/5p1B/5k2 w - - 0 1,8,Олексій Іванович Борисенко
92605025,1k4rb/8/1K3p2/1p3P1p/1P1p1R1P/1Q1p1R1p/6qp/7N w - - 0 1,11,Борислав Стојановић
298abf63,7K/8/1B3p2/4pP2/3pP2R/8/5pp1/3R1bk1 w - - 0 1,8,István Földes
7d789ea8,5k2/6N1/4B1pK/6B1/2p1N2p/1b6/3p3p/8 w - - 0 1,16,Olivier Schmitt
981a787b,B7/8/5p1B/8/6pk/2p5/2p2p2/5KR1 w - - 0 1,8,Herbert Nikolussi
07cdb18c,7R/8/8/8/8/4N1P1/2K4p/6nk w - - 0 1,8,Алексей Иванович Котов
d22ea3c8,8/8/8/p7/pp6/1k6/1N6/R3K3 w - - 0 1,8,Panos Louridas
8870d4df,k2N4/2p5/2Np4/3p4/3p4/1K6/8/8 w - - 0 1,8,Mirko Degenkolbe
27211f92,2KB4/k6p/p1B3p1/8/2P5/r7/8/8 w - - 0 1,8,Moriz Henneberger
10ba289f,6bq/p2Rp2p/3pr3/3Bp3/8/1N5n/1p1K4/1k6 w - - 0 1,10, Nn
3763525a,8/1N1rn3/4k2p/1p2B1Q1/2NP3b/2rB4/3q2pn/1K6 w - - 0 1,8,Émile Léonard Pradignat
4427bab7,8/8/p7/B7/p7/p4p2/P1P1pNp1/4Kbk1 w - - 0 1,15,Станислав Максимович Толстой
